run_id,seed,branch,commit,config,gpu,train_runtime_seconds,completed_steps,eval_task,exact_match,result_path,notes
server_baseline_seed1,1,main,a209385,configs/vlm_textvqa_lora.yaml,RTX A6000 single,,1024,textvqa_val,0.7085800000000037,/home/zsm/parameter-golf/results/textvqa/textvqa_qwen3vl_lora_seed1__merged/20260604_105250_results.json,server baseline; train runtime not preserved outside tmux scrollback
server_baseline_seed2,2,main,a209385,configs/vlm_textvqa_lora.yaml,RTX A6000 single,3000.3181,1024,textvqa_val,0.7112000000000038,/home/zsm/parameter-golf/results/textvqa/textvqa_qwen3vl_lora_seed2__merged/20260604_140126_results.json,server baseline
server_baseline_seed3,3,main,a209385,configs/vlm_textvqa_lora.yaml,RTX A6000 single,2934.4769,1024,textvqa_val,0.7082400000000038,/home/zsm/parameter-golf/results/textvqa/textvqa_qwen3vl_lora_seed3__merged/20260604_151235_results.json,server baseline
ocr16_seed1,1,exp/harness,101959c,/data/zsm/parameter-golf/runs/ocr16_seed1/config.yaml,RTX A6000 GPU0,3011.4045,1024,textvqa_val,0.7076800000000036,/data/zsm/parameter-golf/runs/ocr16_seed1/eval/outputs__merged/20260604_175118_results.json,server ocr16; eval completed; loss noisy but downward overall; no tmux session remains
eval_ocr16_seed1_textvqa_val_ocr,1,exp/eval-ocr16-ocr,101959c882dd9d05be79668f80456da038c01c77,/home/zsm/pg-worktrees/pg-eval-ocr16-ocr/lmms-eval/lmms_eval/tasks/textvqa/textvqa_val_ocr.yaml,RTX A6000 GPU2,,1024,textvqa_val_ocr,0.7262000000000036,/data/zsm/parameter-golf/runs/eval_ocr16_seed1_textvqa_val_ocr/eval/outputs__merged/20260604_193246_results.json,aligned OCR eval; stderr 0.005938970135743878; dataset_path patched to lmms-lab/textvqa in isolated worktree
eval_baseline_seed2_textvqa_val_ocr,2,exp/eval-baseline-ocr,101959c882dd9d05be79668f80456da038c01c77,/home/zsm/pg-worktrees/pg-eval-baseline-ocr/lmms-eval/lmms_eval/tasks/textvqa/textvqa_val_ocr.yaml,RTX A6000 GPU2,,1024,textvqa_val_ocr,0.7133600000000039,/data/zsm/parameter-golf/runs/eval_baseline_seed2_textvqa_val_ocr/eval/textvqa_qwen3vl_lora_seed2__merged/20260604_195729_results.json,aligned baseline seed2 OCR eval; stderr 0.00602570858180051; dataset_path patched to lmms-lab/textvqa in isolated worktree
eval_baseline_seed1_textvqa_val_ocr,1,exp/seed-robustness-ocr,d659cbdf335a66f43e835dd2c3899ff76edeb5d6,/home/zsm/pg-worktrees/pg-seed-robustness-ocr/lmms-eval/lmms_eval/tasks/textvqa/textvqa_val_ocr.yaml,RTX A6000 GPU2,,1024,textvqa_val_ocr,0.7134200000000036,/data/zsm/parameter-golf/runs/eval_baseline_seed1_textvqa_val_ocr/eval/textvqa_qwen3vl_lora_seed1__merged/20260604_221119_results.json,aligned baseline seed1 OCR eval; stderr 0.006032748920011863; dataset_path patched to lmms-lab/textvqa in dedicated worktree; server-side push intentionally not required because public server has no GitHub credentials
eval_baseline_seed3_textvqa_val_ocr,3,exp/seed-robustness-ocr,d659cbdf335a66f43e835dd2c3899ff76edeb5d6,/home/zsm/pg-worktrees/pg-seed-robustness-ocr/lmms-eval/lmms_eval/tasks/textvqa/textvqa_val_ocr.yaml,RTX A6000 GPU2,,1024,textvqa_val_ocr,0.7154200000000039,/data/zsm/parameter-golf/runs/eval_baseline_seed3_textvqa_val_ocr/eval/textvqa_qwen3vl_lora_seed3__merged/20260604_224425_results.json,aligned baseline seed3 OCR eval; stderr 0.006017714457953059; serial GPU eval after seed1; no training; public server branch committed but not pushed by design
